<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BIC,20110906,5.1669,5.1669,5.1669,5.1669,80800
BIC,20110907,4.9423,4.9423,4.9422,4.9422,47270
BIC,20110908,5.0545,5.1669,4.9422,5.1669,413500
BIC,20110909,5.1669,5.1669,4.9984,5.0545,62590
BIC,20110912,5.1107,5.1107,4.8299,4.8299,89140
BIC,20110913,4.8861,4.9422,4.7176,4.8860,109590
BIC,20110914,4.8298,4.8298,4.6614,4.6614,140150
BIC,20110915,4.6052,4.7737,4.4368,4.6052,57160
BIC,20110916,4.4367,4.6052,4.4367,4.4368,74480
BIC,20110919,4.3806,4.5491,4.3806,4.4929,21550
BIC,20110920,4.3806,4.4929,4.3806,4.3806,26460
BIC,20110921,4.3806,4.3806,4.2121,4.2121,51050
BIC,20110922,4.2683,4.3806,4.2121,4.3806,26700
BIC,20110923,4.3244,4.3806,4.3244,4.3806,8100
BIC,20110926,4.2121,4.4368,4.2121,4.2121,21060
BIC,20110927,4.2683,4.2683,4.2121,4.2683,46590
BIC,20110928,4.2683,4.4368,4.2683,4.2683,21670
BIC,20110929,4.1560,4.2683,4.0998,4.1559,39000
BIC,20110930,4.3244,4.3244,4.0997,4.2683,5540
BIC,20111003,4.0998,4.1560,4.0998,4.1559,15850
BIC,20111004,4.1559,4.1559,3.9874,3.9875,7510
BIC,20111005,3.9313,4.0998,3.9313,4.0998,12650
BIC,20111006,4.1560,4.1560,4.0998,4.1559,7550
BIC,20111007,4.2121,4.2121,4.0436,4.0998,43730
BIC,20111010,3.9875,4.0436,3.9875,4.0436,28560
BIC,20111011,4.0436,4.0436,3.9874,4.0436,10000
BIC,20111012,3.9874,3.9874,3.8751,3.8751,30620
BIC,20111013,3.7628,3.9313,3.7628,3.9313,5230
BIC,20111014,3.9313,4.0436,3.9313,3.9313,14180
BIC,20111017,3.9875,4.0436,3.9875,3.9875,24100
BIC,20111018,3.9875,3.9875,3.8751,3.8751,9620
BIC,20111019,3.8189,3.8751,3.8189,3.8190,6440
BIC,20111020,3.8752,3.9313,3.7628,3.7628,13980
BIC,20111021,3.7628,3.9313,3.7628,3.9313,15910
BIC,20111024,3.8751,3.9875,3.8190,3.8190,15760
BIC,20111025,3.7067,3.8190,3.7067,3.7067,25240
BIC,20111026,3.6505,3.6505,3.5382,3.5382,100650
BIC,20111027,3.5382,3.6505,3.5382,3.5382,2300
BIC,20111028,3.5944,3.6505,3.4259,3.5943,21500
BIC,20111031,3.6505,3.6505,3.4820,3.4820,16180
BIC,20111101,3.5943,3.5943,3.3135,3.3135,99100
BIC,20111102,3.3697,3.3697,3.3135,3.3697,11880
BIC,20111103,3.3697,3.3697,3.3135,3.3697,32640
BIC,20111104,3.4259,3.4259,3.3135,3.3697,160940
BIC,20111107,3.3697,3.3697,3.3135,3.3135,39240
BIC,20111108,3.3697,3.3697,3.2573,3.3135,13900
BIC,20111109,3.3697,3.3697,3.3135,3.3697,47990
BIC,20111110,3.3697,3.3697,3.3135,3.3697,34520
BIC,20111111,3.3697,3.4259,3.3697,3.3697,83010
BIC,20111114,3.4259,3.4820,3.4259,3.4820,152620
BIC,20111115,3.6505,3.6505,3.5943,3.6505,207370
BIC,20111116,3.7628,3.8190,3.7628,3.8190,231820
BIC,20111117,3.8752,3.9313,3.8190,3.9313,52960
BIC,20111118,3.9875,3.9875,3.8190,3.9313,80140
BIC,20111121,3.8190,3.9313,3.7628,3.7628,52710
BIC,20111122,3.6505,3.7628,3.5943,3.7067,119220
BIC,20111123,3.7067,3.7629,3.5382,3.7628,16140
BIC,20111124,3.7628,3.7628,3.6505,3.7067,30170
BIC,20111125,3.6505,3.6505,3.5382,3.5382,5660
BIC,20111128,3.5382,3.5944,3.5382,3.5943,49120
BIC,20111129,3.5943,3.6505,3.5943,3.6505,42500
BIC,20111130,3.5943,3.6505,3.5943,3.6505,29610
BIC,20111201,3.7067,3.7067,3.5943,3.6505,86140
BIC,20111202,3.6505,3.7067,3.5943,3.6505,89200
BIC,20111205,3.7067,3.8190,3.7067,3.8190,50970
BIC,20111206,3.8190,3.8190,3.7067,3.8190,98110
BIC,20111207,3.8190,3.9313,3.8190,3.9313,79940
BIC,20111208,3.9875,3.9875,3.9313,3.9875,20180
BIC,20111209,3.9313,3.9313,3.8190,3.9313,9180
BIC,20111212,3.8751,3.9313,3.8751,3.9313,13000
BIC,20111213,3.8190,3.8751,3.8190,3.8751,23500
BIC,20111214,3.8751,3.8751,3.7066,3.7628,10630
BIC,20111215,3.6505,3.7067,3.5943,3.7067,13080
BIC,20111216,3.7629,3.7629,3.7628,3.7628,6130
BIC,20111219,3.7628,3.7628,3.7628,3.7628,10110
BIC,20111220,3.6505,3.7628,3.6505,3.6505,23110
BIC,20111221,3.7628,3.7628,3.6505,3.6505,5210
BIC,20111222,3.7628,3.7628,3.5943,3.5943,400
BIC,20111223,3.5381,3.5943,3.5381,3.5943,32370
BIC,20111226,3.5381,3.5943,3.5381,3.5943,13900
BIC,20111227,3.4820,3.5943,3.4258,3.5943,5010
BIC,20111228,3.5943,3.5943,3.5381,3.5382,1630
BIC,20111229,3.4820,3.5382,3.3697,3.5382,60400
BIC,20111230,3.3697,3.3697,3.3697,3.3697,9970
BIC,20120103,3.5382,3.5382,3.4259,3.4820,21460
BIC,20120104,3.4820,3.4820,3.4820,3.4820,2000
BIC,20120105,3.4820,3.5382,3.4820,3.5382,8510
BIC,20120106,3.5382,3.5382,3.4820,3.4820,9520
BIC,20120109,3.5382,3.5382,3.5382,3.5382,400
BIC,20120110,3.5382,3.5944,3.5382,3.5943,1710
BIC,20120111,3.5943,3.6505,3.5943,3.6505,13690
BIC,20120112,3.6505,3.6505,3.6505,3.6505,930
BIC,20120113,3.7067,3.7067,3.7067,3.7067,100
BIC,20120116,3.7629,3.7629,3.7067,3.7628,9150
BIC,20120117,3.7628,3.8190,3.7066,3.8190,11280
BIC,20120118,3.8752,3.8752,3.6505,3.8751,22400
BIC,20120119,3.8751,3.9313,3.8751,3.9313,4700
BIC,20120120,3.8751,3.9313,3.8751,3.9313,9500
BIC,20120130,3.8190,3.9875,3.8190,3.9875,5700
BIC,20120131,3.9875,3.9875,3.9313,3.9875,16900
BIC,20120201,3.9875,3.9875,3.9875,3.9875,3750
BIC,20120202,3.9875,4.0437,3.9313,4.0436,31760
BIC,20120203,4.0436,4.0436,3.8751,3.9875,24270
BIC,20120206,3.9875,3.9875,3.9875,3.9875,100
BIC,20120207,3.8190,3.9875,3.8190,3.9313,2920
BIC,20120208,3.9313,3.9875,3.9313,3.9313,3320
BIC,20120209,3.9313,4.0436,3.9313,4.0436,16420
BIC,20120210,3.9313,3.9313,3.8751,3.9313,11240
BIC,20120213,3.9313,3.9875,3.8751,3.9313,43860
BIC,20120214,3.9313,3.9875,3.9313,3.9313,67810
BIC,20120215,3.9313,3.9313,3.8751,3.8751,13570
BIC,20120216,3.8751,3.8751,3.7628,3.8751,7760
BIC,20120217,3.9313,3.9874,3.9313,3.9313,4990
BIC,20120220,3.9313,4.0436,3.9313,4.0436,18490
BIC,20120221,3.9313,3.9313,3.9313,3.9313,9600
BIC,20120222,3.9313,3.9313,3.7628,3.8751,16710
BIC,20120223,3.8751,3.8751,3.8751,3.8751,32560
BIC,20120224,3.8189,3.9874,3.8189,3.9313,59540
BIC,20120227,3.9875,4.0998,3.9313,4.0998,174410
BIC,20120228,4.2121,4.2121,4.0436,4.0436,33310
BIC,20120229,4.0998,4.0998,3.9313,3.9313,7230
BIC,20120301,4.0436,4.0998,3.9875,4.0436,81170
BIC,20120302,4.0436,4.0436,3.9874,4.0436,30260
BIC,20120305,4.0436,4.2121,4.0436,4.2121,773300
BIC,20120306,4.3806,4.3806,4.2683,4.3806,600640
BIC,20120307,4.5491,4.5491,4.3806,4.5491,247170
BIC,20120308,4.3806,4.6614,4.3806,4.4929,43750
BIC,20120309,4.3806,4.4367,4.2683,4.2683,209480
BIC,20120312,4.0998,4.1560,4.0998,4.0998,81220
BIC,20120313,3.9875,4.2683,3.9313,4.2683,301820
BIC,20120314,4.0998,4.2683,4.0998,4.0998,151000
BIC,20120315,4.0998,4.2683,3.9875,4.2121,76290
BIC,20120316,4.2121,4.3244,4.2121,4.2121,238270
BIC,20120319,4.1559,4.2683,4.1559,4.1559,90700
BIC,20120320,4.1559,4.2121,4.0997,4.2121,49230
BIC,20120321,4.2121,4.3806,4.2121,4.2121,210610
BIC,20120322,4.3806,4.3806,4.3244,4.3806,449960
BIC,20120323,4.5491,4.5491,4.5491,4.5491,255120
BIC,20120326,4.7737,4.7737,4.7176,4.7737,681850
BIC,20120327,4.9422,4.9422,4.7175,4.7176,577380
BIC,20120328,4.5491,4.7176,4.4930,4.7176,282320
BIC,20120329,4.7176,4.7738,4.6053,4.6614,236930
BIC,20120330,4.6614,4.6614,4.5491,4.5491,197720
BIC,20120403,4.4210,4.5491,4.4210,4.4848,113950
BIC,20120404,4.3567,4.5489,4.2926,4.3567,127320
BIC,20120405,4.4208,4.4208,4.2926,4.4208,73660
BIC,20120406,4.4208,4.6130,4.4208,4.5489,133610
BIC,20120409,4.4208,4.6130,4.4208,4.6130,39930
BIC,20120410,4.6771,4.6771,4.5489,4.5489,89000
BIC,20120411,4.6130,4.6770,4.4848,4.6130,265140
BIC,20120412,4.6771,4.6771,4.5489,4.5489,138650
BIC,20120413,4.5489,4.5489,4.4848,4.5489,100030
BIC,20120416,4.4848,4.6770,4.4208,4.6130,124250
BIC,20120417,4.5489,4.6130,4.4849,4.5489,156180
BIC,20120418,4.4848,4.7411,4.4208,4.7411,413280
BIC,20120419,4.8692,4.9333,4.8052,4.9333,694590
BIC,20120420,4.8052,5.1255,4.8052,4.8052,217760
BIC,20120423,4.9333,4.9333,4.8052,4.8052,102610
BIC,20120424,4.8052,4.8693,4.6771,4.8052,149600
BIC,20120425,4.8693,4.8693,4.7411,4.8052,178350
BIC,20120426,4.8693,4.9974,4.8052,4.9974,324040
BIC,20120427,5.1896,5.1896,5.1896,5.1896,112610
BIC,20120502,5.4459,5.4459,5.4459,5.4459,251030
BIC,20120503,5.7022,5.7022,5.5740,5.7021,1095820
BIC,20120504,5.9584,5.9584,5.9584,5.9584,119480
BIC,20120507,6.2147,6.2147,6.2147,6.2147,41150
BIC,20120508,6.4710,6.4710,6.4069,6.4710,861740
BIC,20120509,6.2788,6.7913,6.2788,6.6632,848970
BIC,20120510,6.6632,6.7913,6.3429,6.4069,567280
BIC,20120511,6.3428,6.5350,6.2788,6.2788,324050
BIC,20120514,6.2788,6.2788,6.0225,6.0225,274020
BIC,20120515,5.7662,5.8303,5.7662,5.7662,117060
BIC,20120516,5.5740,5.7021,5.5099,5.5099,529480
BIC,20120517,5.5740,5.7662,5.5740,5.5740,238770
BIC,20120518,5.5740,5.6381,5.3177,5.3818,139850
BIC,20120521,5.5740,5.6381,5.3818,5.6381,53660
BIC,20120522,5.6381,5.8303,5.5740,5.5740,227210
BIC,20120523,5.7021,5.7021,5.3177,5.3177,182030
BIC,20120524,5.1896,5.2536,5.0614,5.0615,242760
BIC,20120525,5.2537,5.2537,5.1256,5.2537,185810
BIC,20120528,5.5100,5.5100,5.3178,5.5099,169580
BIC,20120529,5.5099,5.5099,5.3818,5.4459,94620
BIC,20120530,5.3818,5.5740,5.2537,5.2537,119170
BIC,20120531,5.2537,5.4459,5.1896,5.3177,180840
BIC,20120601,5.5099,5.5740,5.2536,5.5099,120030
BIC,20120604,5.5099,5.5099,5.2536,5.2537,61910
BIC,20120605,5.3178,5.3818,5.1896,5.3818,26280
BIC,20120606,5.3818,5.4459,5.2537,5.3818,89270
BIC,20120607,5.4459,5.6381,5.3818,5.5099,295350
BIC,20120608,5.6380,5.7021,5.3818,5.4459,138750
BIC,20120611,5.4459,5.5740,5.3818,5.4459,125390
BIC,20120612,5.4459,5.4459,5.3177,5.3177,65350
BIC,20120613,5.3818,5.3818,5.1896,5.3177,128410
BIC,20120614,5.2536,5.3177,5.1255,5.3177,146050
BIC,20120615,5.3818,5.5099,5.3818,5.5099,118850
BIC,20120618,5.5740,5.6380,5.4458,5.5099,138510
BIC,20120619,5.5099,5.5099,5.3177,5.3818,64500
BIC,20120620,5.3818,5.4459,5.3177,5.3177,80680
BIC,20120621,5.3177,5.3818,5.2536,5.3177,39200
BIC,20120622,5.2536,5.3818,5.1896,5.1896,68460
BIC,20120625,5.1255,5.2537,4.9974,5.0615,91000
BIC,20120626,4.9974,5.0615,4.8692,4.8692,115300
BIC,20120627,4.9973,4.9973,4.8051,4.8052,48740
BIC,20120628,4.8052,4.9333,4.6771,4.8052,18640
BIC,20120629,4.9333,4.9333,4.8052,4.9333,26500
BIC,20120702,5.0614,5.0614,4.8052,4.8052,57670
BIC,20120703,4.6771,4.8052,4.6130,4.6770,62290
BIC,20120704,4.8051,4.8051,4.5489,4.6770,33270
BIC,20120705,4.6129,4.7411,4.5489,4.7411,39120
BIC,20120706,4.6770,4.8692,4.6770,4.8692,92310
BIC,20120709,4.8692,4.8692,4.6770,4.6770,19500
BIC,20120710,4.4848,4.6129,4.4848,4.5489,83000
BIC,20120711,4.5489,4.6770,4.5489,4.5489,64770
BIC,20120712,4.5489,4.6130,4.4848,4.6130,49010
BIC,20120713,4.6771,4.8052,4.6771,4.8052,134010
BIC,20120716,4.8693,4.9333,4.7411,4.8052,91750
BIC,20120717,4.6771,4.9974,4.6771,4.9333,103470
BIC,20120718,4.8692,4.9974,4.8052,4.9333,46960
BIC,20120719,4.9333,5.0614,4.8052,4.9974,88670
BIC,20120720,4.9974,5.1255,4.9333,5.0615,96990
BIC,20120723,4.8693,5.0615,4.8693,4.9333,71980
BIC,20120724,4.9333,4.9974,4.8052,4.8052,57010
BIC,20120725,4.7411,4.8693,4.7411,4.7411,52750
BIC,20120726,4.7411,4.8692,4.6130,4.7411,73670
BIC,20120727,4.8052,4.8052,4.6770,4.7411,14440
BIC,20120730,4.8052,4.8052,4.6770,4.7411,23460
BIC,20120731,4.8052,4.8692,4.6770,4.6770,65400
BIC,20120801,4.7411,4.7411,4.6129,4.6130,52210
BIC,20120802,4.6130,4.8052,4.6130,4.7411,25920
BIC,20120803,4.8052,4.8692,4.6770,4.8692,34300
BIC,20120806,4.8692,4.9973,4.8692,4.9333,23900
BIC,20120807,4.7411,4.9333,4.7411,4.8692,43860
BIC,20120808,4.8692,4.8692,4.6770,4.8052,80560
BIC,20120809,4.9333,4.9333,4.8692,4.8692,57180
BIC,20120810,4.9333,5.0615,4.8692,5.0615,197380
BIC,20120813,5.1256,5.1896,4.9974,4.9974,171390
BIC,20120814,4.9333,5.1255,4.9333,5.0615,67360
BIC,20120815,4.9974,5.1256,4.9974,5.1255,10320
BIC,20120816,5.1255,5.1255,4.9333,5.0615,16250
BIC,20120817,4.9974,5.0615,4.9334,5.0615,62110
BIC,20120820,5.1256,5.1256,4.9334,5.0615,29720
BIC,20120821,4.9334,4.9334,4.8692,4.8692,88080
BIC,20120822,4.6770,4.7411,4.6770,4.6770,188930
BIC,20120823,4.4848,4.4848,4.4848,4.4848,69610
BIC,20120824,4.2926,4.6129,4.2926,4.5489,128160
BIC,20120827,4.5489,4.5489,4.3567,4.3567,127200
BIC,20120828,4.3567,4.3567,4.1645,4.3567,75460
BIC,20120829,4.3567,4.5489,4.3567,4.5489,63830
BIC,20120830,4.5489,4.6130,4.4848,4.4848,70270
BIC,20120831,4.4848,4.4848,4.2926,4.3567,187560
BIC,20120904,4.4208,4.4208,4.2926,4.2926,97410
BIC,20120905,4.3567,4.3567,4.1645,4.2286,55040
BIC,20120906,4.2927,4.3567,4.1645,4.1645,54200
BIC,20120907,4.1645,4.2286,4.1645,4.2286,35170
BIC,20120910,4.2927,4.2927,4.0363,4.0363,122100
BIC,20120911,3.9082,3.9082,3.8441,3.9082,53520
BIC,20120912,3.9723,4.1004,3.9723,3.9723,27500
BIC,20120913,4.0364,4.1004,3.9723,4.1004,32720
BIC,20120914,4.1645,4.2926,4.1645,4.2926,30630
BIC,20120917,4.3567,4.4207,4.2926,4.2926,41680
BIC,20120918,4.2926,4.2926,4.1004,4.1004,39510
BIC,20120919,4.1645,4.2285,3.9723,4.1645,15560
BIC,20120920,3.9723,4.1004,3.9723,4.1004,19140
BIC,20120921,4.1004,4.1645,4.1004,4.1645,21800
BIC,20120924,4.0364,4.1645,4.0364,4.1645,20010
BIC,20120925,4.1645,4.1645,3.9723,4.0363,18500
BIC,20120926,4.1004,4.1004,3.9722,4.0363,9550
BIC,20120927,4.0363,4.1004,4.0363,4.1004,20680
BIC,20120928,4.1645,4.1645,4.0363,4.0363,6110
BIC,20121001,3.9722,4.1004,3.9082,3.9082,27180
BIC,20121002,3.9082,4.0363,3.9082,3.9723,10960
BIC,20121003,4.0364,4.0364,4.0363,4.0363,1370
BIC,20121004,3.9722,4.0363,3.9722,4.0363,8790
BIC,20121005,4.0363,4.1004,4.0363,4.0363,17330
BIC,20121008,4.0363,4.1004,4.0363,4.1004,15850
BIC,20121009,4.0363,4.1004,4.0363,4.1004,14090
BIC,20121010,4.0363,4.2286,4.0363,4.2286,42260
BIC,20121011,4.2286,4.3567,4.1645,4.2286,16740
BIC,20121012,4.2286,4.2286,4.0363,4.0363,32200
BIC,20121015,4.2285,4.2285,3.9082,4.1004,16080
BIC,20121016,4.1004,4.2286,4.1004,4.2286,45220
BIC,20121017,4.2927,4.4208,4.1645,4.4208,180480
BIC,20121018,4.4849,4.6130,4.4849,4.6130,196220
BIC,20121019,4.6771,4.6771,4.4848,4.4848,72970
BIC,20121022,4.4207,4.4207,4.2926,4.3567,82630
BIC,20121023,4.3567,4.4208,4.3567,4.3567,12490
BIC,20121024,4.2286,4.2926,4.2286,4.2286,20400
BIC,20121025,4.2286,4.2927,4.1005,4.2926,21520
BIC,20121026,4.2926,4.3567,4.2285,4.2926,11100
BIC,20121029,4.1645,4.3567,4.1645,4.2926,8280
BIC,20121030,4.2926,4.3567,4.1645,4.1645,22870
BIC,20121031,4.1645,4.1645,4.1004,4.1645,10940
BIC,20121101,4.1645,4.2926,4.1645,4.2286,29620
BIC,20121102,4.0364,4.1005,4.0363,4.0363,113080
BIC,20121105,4.0363,4.1004,4.0363,4.0363,8830
BIC,20121106,4.1644,4.1644,4.0363,4.1004,3980
BIC,20121107,4.0363,4.1645,4.0363,4.1645,5310
BIC,20121108,4.1004,4.1645,4.1004,4.1645,3040
BIC,20121109,4.1645,4.2286,4.1645,4.2286,21240
BIC,20121112,4.2286,4.2927,4.2286,4.2926,37590
BIC,20121113,4.2285,4.2926,4.1004,4.2286,24940
BIC,20121114,4.1645,4.2286,4.1645,4.1645,8880
BIC,20121115,4.0364,4.1645,4.0363,4.0363,21220
BIC,20121116,4.0363,4.1644,4.0363,4.1004,6590
BIC,20121119,4.1004,4.1645,4.0363,4.0363,25760
BIC,20121120,4.1004,4.1645,4.0363,4.1645,13070
BIC,20121121,4.1004,4.1645,4.0363,4.0363,5500
BIC,20121122,4.1004,4.1644,3.9722,4.1004,37010
BIC,20121123,4.1645,4.1645,4.0363,4.1004,10260
BIC,20121126,4.1004,4.1645,4.0363,4.0363,46480
BIC,20121127,4.1004,4.1645,4.0363,4.1645,5910
BIC,20121128,4.1004,4.1645,4.0364,4.1004,11070
BIC,20121129,4.1004,4.1004,4.0363,4.1004,13870
BIC,20121130,4.1645,4.1645,4.0363,4.1004,44670
BIC,20121203,4.1004,4.1004,4.0363,4.1004,8720
BIC,20121204,4.1645,4.1645,4.1004,4.1645,15650
BIC,20121205,4.1645,4.2926,4.1645,4.2286,67320
BIC,20121206,4.2286,4.2927,4.1645,4.1645,33720
BIC,20121207,4.2926,4.2926,4.1645,4.1645,22650
BIC,20121210,4.2286,4.3567,4.2286,4.3567,80500
BIC,20121211,4.3567,4.4208,4.2926,4.3567,42490
BIC,20121212,4.2926,4.4848,4.2926,4.4208,43710
BIC,20121213,4.4208,4.4849,4.3567,4.4208,47360
BIC,20121214,4.4849,4.4849,4.3567,4.3567,15800
BIC,20121217,4.4208,4.4208,4.2926,4.4208,33740
BIC,20121218,4.3567,4.4208,4.2926,4.2926,48720
BIC,20121219,4.3567,4.4208,4.2926,4.4208,16370
BIC,20121220,4.3567,4.4849,4.2927,4.3567,25870
BIC,20121221,4.2926,4.3567,4.2926,4.3567,20240
BIC,20121224,4.2926,4.4208,4.2926,4.3567,7830
BIC,20121225,4.2926,4.4208,4.2926,4.3567,18860
BIC,20121226,4.3567,4.4208,4.2926,4.4208,23000
BIC,20121227,4.6130,4.6130,4.4849,4.6130,331390
BIC,20121228,4.7411,4.8052,4.5489,4.8052,74120
BIC,20130102,4.8052,4.9974,4.6771,4.8052,83920
BIC,20130103,4.7411,4.8052,4.6130,4.6130,122620
BIC,20130104,4.5489,4.8052,4.5489,4.7411,65050
BIC,20130107,4.7411,4.8692,4.6770,4.6770,79830
BIC,20130108,4.6129,4.8052,4.6129,4.8052,66710
BIC,20130109,4.7411,4.9333,4.6130,4.6130,227900
BIC,20130110,4.5489,4.6771,4.4849,4.6770,115050
BIC,20130111,4.6770,4.8051,4.6129,4.6130,43150
BIC,20130114,4.6130,4.6771,4.6130,4.6130,69040
BIC,20130115,4.6771,4.8693,4.6771,4.8692,206180
BIC,20130116,4.8051,5.1896,4.8051,5.1896,272820
BIC,20130117,5.3177,5.3177,4.9974,5.1255,71710
BIC,20130118,5.0614,5.1255,4.8692,4.9333,195310
BIC,20130121,4.8692,4.9333,4.8052,4.8052,38730
BIC,20130122,4.8693,4.8693,4.6771,4.7411,88700
BIC,20130123,4.8052,4.8052,4.6770,4.7411,55670
BIC,20130124,4.7411,4.8052,4.7411,4.8052,31200
BIC,20130125,4.8693,4.9333,4.8052,4.8692,31640
BIC,20130128,4.9333,4.9973,4.8692,4.8692,148150
BIC,20130129,4.8692,4.9333,4.8051,4.8052,56600
BIC,20130130,4.8693,4.8693,4.8052,4.8692,77070
BIC,20130131,4.8692,4.8692,4.8051,4.8692,48540
BIC,20130201,4.8051,4.8692,4.8051,4.8692,13710
BIC,20130204,4.9333,4.9333,4.8051,4.8052,59840
BIC,20130205,4.8052,4.8693,4.7411,4.7411,69210
BIC,20130206,4.8052,4.9333,4.7411,4.9333,67470
BIC,20130207,4.9974,5.1255,4.9333,5.1255,122320
BIC,20130208,5.1255,5.1896,5.0614,5.1255,58950
BIC,20130218,5.2536,5.3177,5.1255,5.2537,75570
BIC,20130219,5.3178,5.3178,5.1896,5.2537,80170
BIC,20130220,5.1896,5.3178,5.1256,5.2537,63880
BIC,20130221,5.3178,5.3178,5.1255,5.1255,96840
BIC,20130222,5.0614,5.1896,4.9333,5.1255,108320
BIC,20130225,5.1896,5.2536,5.1255,5.1896,33990
BIC,20130226,5.1896,5.2537,5.1255,5.1255,149800
BIC,20130227,5.0614,5.2536,5.0614,5.1896,94660
BIC,20130228,5.1896,5.4459,5.1896,5.4459,214120
BIC,20130301,5.3818,5.6381,5.3818,5.5740,136180
BIC,20130304,5.5099,5.7021,5.5099,5.5740,458780
BIC,20130305,5.5740,5.5740,5.4459,5.5099,226550
BIC,20130306,5.5099,5.6380,5.4458,5.5740,58190
BIC,20130307,5.4459,5.5099,5.3818,5.3818,145510
BIC,20130308,5.4459,5.7021,5.4459,5.7021,177810
BIC,20130311,5.7021,6.0225,5.7021,6.0225,274030
BIC,20130312,6.0225,6.1506,5.8944,6.1506,305390
BIC,20130313,6.0865,6.2147,5.9584,6.0225,223310
BIC,20130314,6.0225,6.0225,5.7022,5.7662,145320
BIC,20130315,5.7662,5.8303,5.5740,5.6381,128280
BIC,20130318,5.7662,5.7662,5.6381,5.7021,71040
BIC,20130319,5.6380,5.7021,5.5740,5.5740,55690
BIC,20130320,5.6381,5.7662,5.6381,5.7021,95620
BIC,20130321,5.6380,5.7662,5.6380,5.7021,32260
BIC,20130322,5.6380,5.7021,5.4458,5.6381,71680
BIC,20130325,5.5740,5.7022,5.5100,5.7021,50750
BIC,20130326,5.7021,5.9584,5.7021,5.9584,152390
BIC,20130327,5.7662,5.9584,5.7662,5.8943,110610
BIC,20130328,5.7662,5.8943,5.7021,5.7662,29830
BIC,20130329,5.5740,5.7662,5.5099,5.7662,32920
BIC,20130401,5.7021,5.8303,5.7021,5.7662,67050
BIC,20130402,5.8303,5.8943,5.7662,5.8303,48010
BIC,20130403,5.8303,5.9584,5.8303,5.8943,189550
BIC,20130404,5.8943,6.1506,5.8302,6.0225,276370
BIC,20130405,6.0866,6.4069,6.0225,6.4069,600280
BIC,20130408,6.4069,6.8554,6.4069,6.8554,340470
BIC,20130409,7.0476,7.3039,6.9195,7.3039,572010
BIC,20130410,7.3680,7.4320,7.1757,7.1757,526020
BIC,20130411,7.1757,7.1757,6.7272,6.9195,134400
BIC,20130412,7.1313,7.2019,6.7783,6.8486,84460
BIC,20130415,6.8486,6.8486,6.4250,6.4250,94210
