<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ABI,20090717,10.4332,10.4332,6.8356,8.6344,1040
ABI,20090720,8.5984,8.5984,8.5984,8.5984,0
ABI,20090721,7.7709,7.7710,7.7709,7.7710,2000
ABI,20090722,7.7710,7.7710,7.7710,7.7710,0
ABI,20090723,8.5265,8.5265,7.1954,8.5265,60
ABI,20090724,8.8863,8.8863,8.8862,8.8862,110
ABI,20090727,9.7496,9.7496,8.0228,8.0228,5050
ABI,20090728,9.9296,9.9296,9.9296,9.9296,10
ABI,20090729,10.9010,10.9010,8.9942,10.9009,820
ABI,20090730,10.9369,10.9369,10.9369,10.9369,10
ABI,20090731,12.0162,12.0162,9.8576,9.8576,220
ABI,20090803,11.6564,11.6564,9.5698,11.6564,40
ABI,20090804,11.6564,11.6564,11.6564,11.6564,10
ABI,20090805,12.8076,12.8077,12.8076,12.8077,10
ABI,20090806,12.8077,12.8077,12.8077,12.8077,0
ABI,20090807,14.0669,14.0669,14.0669,14.0669,10
ABI,20090810,15.4700,15.4700,15.4700,15.4700,10
ABI,20090811,17.0170,17.0170,17.0170,17.0170,0
ABI,20090812,17.0170,17.0170,17.0170,17.0170,0
ABI,20090813,18.7079,18.7079,18.7079,18.7079,10
ABI,20090814,18.7079,18.7079,18.7079,18.7079,0
ABI,20090817,20.5787,20.5787,16.8371,16.8371,5010
ABI,20090818,15.1822,15.1822,15.1821,15.1821,1010
ABI,20090819,13.6711,13.6711,13.6711,13.6711,300
ABI,20090820,12.3040,12.3040,12.3040,12.3040,300
ABI,20090821,11.0808,11.0808,11.0808,11.0808,100
ABI,20090824,10.0015,10.0015,10.0015,10.0015,150
ABI,20090825,9.0301,9.0301,9.0301,9.0301,100
ABI,20090826,8.1307,8.1307,8.1307,8.1307,1420
ABI,20090827,7.3392,8.1307,7.3392,7.5551,3520
ABI,20090828,6.7996,7.3752,6.7996,6.7996,27460
ABI,20090831,6.1880,6.8356,6.1880,6.1880,162842
ABI,20090901,6.1880,6.2240,5.7563,6.1880,61420
ABI,20090903,6.7996,6.7996,6.1160,6.1880,1038270
ABI,20090904,6.2959,6.2959,6.0441,6.1160,13200
ABI,20090907,6.0081,6.0440,5.9361,6.0081,12710
ABI,20090908,6.1880,6.1880,5.9361,5.9361,2848
ABI,20090909,5.7562,5.7562,5.3965,5.3965,6710
ABI,20090910,5.3245,5.3965,5.3245,5.3605,3400
ABI,20090911,5.3605,5.3605,4.8568,5.0367,13115
ABI,20090914,4.8568,5.0727,4.8568,5.0367,4130
