<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NVB,20100913,9.7985,10.7784,9.7985,10.7784,69700
NVB,20100914,10.2439,10.5112,9.8876,9.8876,95000
NVB,20100915,9.4422,9.4422,9.3531,9.3532,153200
NVB,20100916,8.9078,9.4423,8.9078,9.3532,153400
NVB,20100917,9.5348,9.8072,9.5348,9.6490,34000
NVB,20100920,10.0131,10.0131,9.6490,9.6490,57900
NVB,20100921,9.6490,9.7400,9.4669,9.5580,28300
NVB,20100922,9.5580,9.5580,9.1029,9.1029,25800
NVB,20100923,9.3760,9.3760,8.8298,9.1029,55900
NVB,20100924,9.3760,9.4670,9.3759,9.3759,27400
NVB,20100927,9.5580,9.5580,9.2849,9.4670,14700
NVB,20100928,9.8311,9.8311,9.3759,9.3759,13800
NVB,20100929,9.5580,9.5580,9.2849,9.3759,22400
NVB,20100930,9.1028,9.2849,9.0118,9.1029,23500
NVB,20101001,9.5820,9.5820,9.3904,9.5817,8600
NVB,20101004,9.4859,9.4859,9.2942,9.3900,4500
NVB,20101005,9.3900,9.3900,8.9109,9.1026,38400
NVB,20101006,9.1026,9.2942,9.0068,9.2942,13300
NVB,20101007,9.1984,9.1984,8.9109,8.9110,52100
NVB,20101008,9.0068,9.0068,8.9110,9.0068,32900
NVB,20101011,9.0068,9.1984,9.0068,9.1984,12400
NVB,20101012,9.1026,9.1984,9.0068,9.1026,18000
NVB,20101013,9.1026,9.1026,9.0068,9.0068,5000
NVB,20101014,9.1026,9.1026,9.1026,9.1026,15200
NVB,20101015,9.1026,9.1026,8.8151,9.0068,15200
NVB,20101018,9.1026,9.2943,9.0068,9.0068,29900
NVB,20101019,9.1026,9.1026,8.9110,9.0068,16600
NVB,20101020,9.0068,9.0068,8.7193,8.9110,16000
NVB,20101021,8.9110,8.9110,8.8151,8.8151,5700
NVB,20101022,8.9109,8.9109,8.8151,8.8151,20600
NVB,20101025,8.8151,9.1025,8.6235,8.6235,15100
NVB,20101026,8.8151,8.8151,8.6235,8.6235,27900
NVB,20101027,8.8151,8.8151,8.5277,8.6235,12800
NVB,20101028,8.6235,8.6235,8.1444,8.2402,15800
NVB,20101029,8.3360,8.3360,8.0486,8.2402,37700
NVB,20101101,8.1444,8.1444,7.9528,8.0486,35900
NVB,20101102,8.0486,8.0486,7.6653,8.0486,133700
NVB,20101103,7.8570,8.0486,7.7611,7.9528,37900
NVB,20101104,7.9528,8.0486,7.9528,7.9528,33300
NVB,20101105,8.0486,8.1444,7.9528,8.1444,88600
NVB,20101108,8.1444,8.1444,7.8570,7.8570,19600
NVB,20101109,8.0486,8.0486,7.7612,7.7612,42000
NVB,20101110,7.9528,8.0487,7.7612,7.9528,17100
NVB,20101111,7.9528,7.9528,7.6653,7.8570,24600
NVB,20101112,7.8570,7.8570,7.6654,7.8570,17100
NVB,20101115,7.7612,7.7612,7.5695,7.5695,46900
NVB,20101116,7.6653,7.7612,7.6653,7.7612,22900
NVB,20101117,7.7612,7.8570,7.6653,7.6653,28100
NVB,20101118,7.7611,7.7612,7.6653,7.7612,28100
NVB,20101119,7.7612,7.7612,7.6654,7.7612,16500
NVB,20101122,7.7612,7.7612,7.6653,7.6653,9800
NVB,20101123,7.7611,7.8569,7.7611,7.7612,12700
NVB,20101124,7.8570,7.9528,7.8570,7.8570,10400
NVB,20101125,7.9528,8.3361,7.8570,8.0486,13400
NVB,20101126,8.1444,8.1444,7.8570,7.8570,19000
NVB,20101129,7.9528,8.0486,7.8570,8.0486,4900
NVB,20101130,8.1444,8.3361,8.0486,8.1444,27100
NVB,20101201,8.1444,8.1444,8.0486,8.0486,5800
NVB,20101202,8.0486,8.0486,7.7611,7.7612,25100
NVB,20101203,7.8570,8.4319,7.6654,8.4319,35300
NVB,20101206,8.8152,9.0068,8.6235,9.0068,49100
NVB,20101207,8.9110,8.9110,8.6235,8.6235,6500
NVB,20101208,8.2402,8.2402,8.1444,8.1444,53500
NVB,20101209,8.2402,8.2402,7.8570,7.8570,14500
NVB,20101210,8.0486,8.4319,8.0486,8.4319,10000
NVB,20101213,8.7194,8.8152,8.7194,8.8151,36100
NVB,20101214,9.3900,9.3900,9.3900,9.3900,83200
NVB,20101215,9.9649,9.9649,9.9649,9.9649,113000
NVB,20101216,10.5454,10.5454,9.8682,10.1734,305700
NVB,20101217,10.3672,10.5610,9.7858,10.2703,121800
NVB,20101220,10.1734,10.2703,9.7859,9.8828,38400
NVB,20101221,9.6890,9.7859,9.2046,9.3983,96500
NVB,20101222,9.3983,9.4952,8.7201,9.0108,54700
NVB,20101223,8.8170,9.0108,8.7201,9.0108,29000
NVB,20101224,8.8170,9.3015,8.8170,9.3014,32900
NVB,20101227,9.1076,9.2045,9.1076,9.1076,15800
NVB,20101228,9.7858,9.7858,9.2045,9.6890,68200
NVB,20101229,10.0766,10.0766,9.3983,9.5921,82400
NVB,20101230,10.0765,10.6579,9.5921,9.6890,174800
NVB,20101231,10.8517,10.9486,9.9797,10.1734,131000
NVB,20110104,10.0765,10.0765,9.9796,9.9797,34500
NVB,20110105,9.7859,9.7859,9.3014,9.3014,194600
NVB,20110106,9.7858,9.7858,9.2045,9.3014,13200
NVB,20110107,9.4952,9.4952,9.2045,9.3014,29400
NVB,20110110,9.2045,9.2045,8.9138,9.2045,46300
NVB,20110111,9.1076,9.1076,8.7201,8.7201,24900
NVB,20110112,8.9139,9.1077,8.9139,9.0108,21900
NVB,20110113,9.0108,9.2046,8.8170,8.9139,36800
NVB,20110114,8.9139,9.0108,8.9139,8.9139,20000
NVB,20110117,8.9139,9.1077,8.7201,9.0108,97800
NVB,20110118,8.9139,8.9139,8.8170,8.8170,25500
NVB,20110119,8.7201,8.8170,8.7201,8.7201,19600
NVB,20110120,9.3014,9.3014,8.7201,8.8170,14700
NVB,20110121,9.1077,9.2046,8.9139,8.9139,29400
NVB,20110124,8.9139,8.9139,8.7201,8.7201,24400
NVB,20110125,8.9139,8.9139,8.6232,8.6232,22900
NVB,20110126,8.7201,8.9139,8.7201,8.9139,4100
NVB,20110127,8.8170,8.8170,8.6232,8.6232,39200
NVB,20110128,9.0108,9.0108,8.7201,8.8170,43400
NVB,20110208,8.8170,9.3015,8.8170,9.3014,200
NVB,20110209,9.1076,9.2045,8.8170,9.0108,24800
NVB,20110210,8.8170,8.9139,8.8170,8.8170,11700
NVB,20110211,9.0108,9.0108,8.8170,8.9139,4900
NVB,20110214,8.8170,8.8170,8.7201,8.8170,21900
NVB,20110215,8.7201,8.8170,8.6232,8.6232,25700
NVB,20110216,8.6232,8.6232,8.5263,8.6232,4100
NVB,20110217,8.6232,8.6232,8.5263,8.6232,35700
NVB,20110218,8.5263,8.6232,8.3325,8.5263,53700
NVB,20110221,8.4294,8.4294,8.0419,8.0419,31200
NVB,20110222,8.1388,8.1388,7.8481,8.0419,23700
NVB,20110223,8.2357,8.2357,8.1388,8.2356,13900
NVB,20110224,8.3325,8.3325,7.9449,8.1387,3800
NVB,20110225,8.0418,8.1387,7.9449,8.1387,3600
NVB,20110228,7.7511,8.3325,7.7511,7.9450,32600
NVB,20110301,8.1388,8.1388,7.7512,7.7512,3300
NVB,20110302,7.8481,7.8481,7.3636,7.3636,63400
NVB,20110303,7.5574,7.8481,6.9760,7.8481,72900
NVB,20110304,7.9450,7.9450,7.9450,7.9450,9900
NVB,20110307,8.1388,8.3326,8.1388,8.2356,23400
