<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
PTI,20110302,6.1073,6.5144,5.7001,5.9444,403600
PTI,20110303,6.0258,6.1480,5.8630,5.9851,241400
PTI,20110304,6.0665,6.0665,5.5780,5.7001,171100
PTI,20110307,5.7001,5.7001,5.4151,5.4151,187500
PTI,20110308,5.6594,5.7815,5.4965,5.5779,186300
PTI,20110309,5.8629,5.9036,5.4965,5.6187,154200
PTI,20110310,5.6187,5.9851,5.6187,5.9851,237500
PTI,20110311,5.7001,6.0258,5.7001,5.9037,142100
PTI,20110314,5.9851,6.0258,5.6594,5.6594,137000
PTI,20110315,5.8630,5.8630,5.7001,5.7001,145500
PTI,20110316,5.8630,5.9037,5.7001,5.7408,162000
PTI,20110317,5.7815,5.7815,5.7001,5.7408,207000
PTI,20110318,5.8629,5.8629,5.7001,5.8222,145600
PTI,20110321,5.8629,5.9443,5.7815,5.7815,103800
PTI,20110322,5.8222,5.8629,5.5372,5.6187,118300
PTI,20110323,5.5780,5.7001,5.5373,5.5779,135400
PTI,20110324,5.8222,5.8222,5.5779,5.5779,129700
PTI,20110325,5.7815,5.7815,5.5779,5.5779,131900
PTI,20110328,5.6593,5.6593,5.4965,5.5372,122400
PTI,20110329,5.5372,5.6186,5.4151,5.4965,131800
PTI,20110330,5.4558,5.4965,5.2115,5.4965,84700
PTI,20110331,5.4558,5.6186,5.3336,5.4965,145500
PTI,20110401,5.4965,5.4965,5.2115,5.3744,97700
PTI,20110404,5.3337,5.3337,5.2115,5.2522,61100
PTI,20110405,5.4558,5.4558,5.1301,5.4151,148800
PTI,20110406,5.4965,5.4965,5.3337,5.3744,120800
PTI,20110407,5.0487,5.2930,5.0487,5.2929,177400
PTI,20110408,5.1708,5.3337,4.9672,5.3337,105200
PTI,20110413,5.2930,5.4151,5.1301,5.3337,106300
PTI,20110414,5.1301,5.3337,5.1301,5.2522,145800
PTI,20110415,5.0893,5.2929,4.9265,4.9265,150700
PTI,20110418,4.8858,5.2929,4.8858,5.0894,121800
PTI,20110419,4.9673,5.2115,4.9673,5.1301,142500
PTI,20110420,5.1301,5.1708,5.0080,5.0894,107500
PTI,20110421,4.8858,5.0894,4.8044,4.8451,111200
PTI,20110422,4.8858,4.9672,4.8044,4.9672,75700
PTI,20110425,4.8043,5.2522,4.8043,5.2522,171200
PTI,20110426,5.0079,5.2522,4.9265,5.1301,124000
PTI,20110427,4.8858,5.1708,4.8858,5.0487,100500
PTI,20110428,5.0487,5.1708,4.8858,4.9265,69500
PTI,20110429,4.9265,5.1301,4.9265,5.0487,128300
PTI,20110504,5.0487,5.1708,4.9266,5.0487,105500
PTI,20110505,5.0487,5.1301,5.0080,5.0894,85500
PTI,20110506,5.0894,5.1708,5.0487,5.1301,113900
PTI,20110509,5.1301,5.1301,5.0894,5.0894,112100
PTI,20110510,5.1301,5.1708,5.0894,5.0894,121500
PTI,20110511,5.1301,5.2115,5.0894,5.2115,106200
PTI,20110512,5.2115,5.3960,4.7964,5.2574,152900
PTI,20110513,5.2574,5.3496,5.0729,5.1652,83000
PTI,20110516,5.1652,5.2574,5.1191,5.1191,81700
PTI,20110517,5.1191,5.1652,4.8885,4.9346,100400
PTI,20110518,4.9346,5.1191,4.7501,5.0268,137300
PTI,20110519,5.1190,5.1190,4.9346,5.0730,114700
PTI,20110520,4.9346,5.0730,4.8424,5.0268,104700
PTI,20110523,4.9346,4.9807,4.7962,4.7963,114600
PTI,20110524,4.7502,4.8424,4.5657,4.5657,120400
PTI,20110525,4.3351,4.4735,4.3351,4.3351,76800
PTI,20110526,4.3812,4.4273,4.1045,4.3812,85600
PTI,20110527,4.3812,4.5657,4.2428,4.5657,129800
PTI,20110530,4.3351,4.5657,4.3351,4.4273,137400
PTI,20110531,4.3812,4.5657,4.3351,4.5657,141100
PTI,20110601,4.3812,4.7041,4.3812,4.7040,153800
PTI,20110602,4.6579,4.9346,4.6579,4.9346,124200
PTI,20110603,5.0268,5.2113,4.8885,4.9807,144900
PTI,20110606,4.9346,5.1191,4.7962,4.9807,154300
PTI,20110607,4.9346,5.2113,4.9346,5.2113,196900
PTI,20110608,5.2574,5.3035,4.9346,4.9346,127500
PTI,20110609,4.9346,5.3497,4.8885,5.3497,182800
PTI,20110610,5.2575,5.3497,5.1191,5.2574,180600
PTI,20110613,5.2113,5.3958,5.1652,5.2574,170500
PTI,20110614,5.1652,5.3035,5.0268,5.0730,258000
PTI,20110615,4.9808,5.2575,4.8885,5.2574,151000
PTI,20110616,4.9346,5.2574,4.9346,5.2113,159100
PTI,20110617,5.1191,5.1191,4.9807,5.0268,171600
PTI,20110620,4.9807,5.0730,4.8423,5.0730,168600
PTI,20110621,4.7963,5.1652,4.7963,5.1652,156900
PTI,20110622,5.0268,5.2574,5.0268,5.2574,159100
PTI,20110623,5.0729,5.2113,5.0268,5.1191,147000
PTI,20110624,5.0269,5.2575,5.0269,5.1652,159300
PTI,20110627,5.1652,5.2113,5.0730,5.1191,146300
PTI,20110628,5.0730,5.1191,5.0269,5.0730,140500
PTI,20110629,5.0730,5.1191,5.0269,5.0730,156000
PTI,20110630,5.0730,5.1191,5.0269,5.0730,148200
PTI,20110701,5.0730,5.0730,4.9808,5.0730,151600
PTI,20110704,5.0269,5.1191,4.9808,5.1191,156400
PTI,20110705,5.0730,5.2575,5.0730,5.2113,168000
PTI,20110706,5.2574,5.3035,5.0268,5.1652,185600
PTI,20110707,5.0268,5.2113,5.0268,5.1191,141500
PTI,20110708,5.1191,5.1191,5.0269,5.0730,156100
PTI,20110711,5.0269,5.0730,4.9808,5.0268,148700
PTI,20110712,5.0268,5.1191,4.9807,5.1191,160600
PTI,20110713,5.0269,5.2113,5.0269,5.0730,150700
PTI,20110714,5.0269,5.1191,4.9808,5.0730,144800
PTI,20110715,5.0730,5.1191,4.9808,5.0268,127800
PTI,20110718,5.0268,5.0268,4.9346,4.9346,121400
PTI,20110719,4.9807,5.0268,4.9346,4.9807,111200
PTI,20110720,4.9346,5.0729,4.8885,5.0268,143500
PTI,20110721,4.9807,5.0268,4.8884,4.9346,58800
PTI,20110722,5.0268,5.0268,4.8885,4.9346,63900
PTI,20110725,4.9346,4.9346,4.8424,4.8885,58500
PTI,20110726,4.8885,4.9346,4.8885,4.8885,54700
PTI,20110727,4.8885,4.8885,4.7963,4.8424,54600
PTI,20110728,4.8424,4.8885,4.8424,4.8424,47900
PTI,20110729,4.8424,4.8885,4.7501,4.7501,51400
PTI,20110801,4.7962,4.7962,4.7040,4.7040,35200
PTI,20110802,4.7040,4.7040,4.6579,4.6579,16000
PTI,20110803,4.6118,4.6579,4.4734,4.6118,39300
PTI,20110804,4.5657,4.6118,4.5657,4.6118,37200
PTI,20110805,4.6118,4.6118,4.5196,4.5657,19100
PTI,20110808,4.5657,4.5657,4.4273,4.5195,37100
PTI,20110809,4.4734,4.4734,4.3350,4.4273,23600
PTI,20110810,4.4734,4.4734,4.3351,4.3812,16100
PTI,20110811,4.3812,4.3812,4.2428,4.2890,49000
PTI,20110812,4.2890,4.3812,4.2429,4.2890,57200
PTI,20110815,4.3351,4.3351,4.2890,4.2890,32700
PTI,20110816,4.3351,4.3812,4.3351,4.3812,1300
PTI,20110817,4.3812,4.3812,4.2890,4.3351,25900
PTI,20110818,4.4273,4.4735,4.3812,4.3812,20500
PTI,20110819,4.3812,4.4273,4.3351,4.3812,30500
PTI,20110822,4.4273,4.5196,4.4273,4.4734,43100
PTI,20110823,4.5656,4.6118,4.4734,4.4734,49900
PTI,20110824,4.5195,4.6118,4.4734,4.4734,23900
PTI,20110825,4.6579,4.6579,4.5195,4.6118,34500
PTI,20110826,4.6118,4.6118,4.5195,4.5195,13100
PTI,20110829,4.6117,4.6579,4.5656,4.6579,15300
